Wall time,Step,Value
1773847121.398624,100,74.00572204589844
1773847127.0124109,200,138.09889221191406
1773847130.8878536,300,224.70321655273438
1773847132.9158523,400,294.3074645996094
1773847134.9389446,500,390.6600036621094
1773847139.0648332,700,672.0
1773847141.1823199,800,730.2055053710938
1773847143.2607615,900,768.4531860351562
1773847145.4071436,1000,869.22900390625
1773847147.4793997,1100,678.5194702148438
1773847149.7588487,1200,766.6643676757812
1773847152.1616392,1300,919.7579956054688
1773847154.4329312,1400,979.9373168945312
1773847156.6709275,1500,1000.0
1773847160.7624135,1700,553.5714111328125
1773847162.8714168,1800,1000.0
1773847164.8510647,1900,1000.0
1773847166.8262064,2000,1000.0
1773847172.3188112,2100,943.2791748046875
1773847177.867869,2200,946.8876342773438
1773847181.627188,2300,996.7996215820312
1773847183.609684,2400,922.4420166015625
1773847185.469007,2500,643.188232421875
1773847187.3687685,2600,546.3915405273438
1773847189.3088634,2700,663.1431274414062
1773847191.2837017,2800,808.3934326171875
1773847193.25875,2900,878.2837524414062
1773847195.2532418,3000,922.2628784179688
1773847197.3197536,3100,675.771728515625
1773847199.416672,3200,909.9832763671875
1773847201.7077534,3300,962.8103637695312
1773847203.7588856,3400,834.7472534179688
1773847205.6877728,3500,520.0055541992188
1773847207.647198,3600,564.5706176757812
1773847209.762987,3700,875.7908325195312
1773847211.973395,3800,923.53076171875
1773847214.1293452,3900,987.0673217773438
1773847216.2140071,4000,991.3408813476562
1773847222.0314157,4100,948.6771850585938
1773847228.0180135,4200,964.1473388671875
1773847232.4085042,4300,964.4330444335938
1773847234.6881866,4400,855.7903442382812
1773847236.8413167,4500,678.8139038085938
1773847238.9138277,4600,656.309814453125
1773847241.0059128,4700,855.9569091796875
1773847243.1620452,4800,897.2733154296875
