Wall time,Step,Value
1773847121.3985424,100,-4.004998207092285
1773847127.012373,200,-5.668585777282715
1773847130.8878164,300,-7.401678562164307
1773847132.915768,400,-8.911186218261719
1773847134.938855,500,-6.811427593231201
1773847139.0647533,700,-12.163673400878906
1773847141.1821876,800,-10.56018352508545
1773847143.260725,900,-8.590606689453125
1773847145.407056,1000,-7.870461463928223
1773847147.4793627,1100,-4.30411958694458
1773847149.7588112,1200,-3.646307945251465
1773847152.1615994,1300,-2.8507368564605713
1773847154.43285,1400,-2.0695009231567383
1773847156.6708193,1500,1.3154876232147217
1773847160.7622812,1700,4.270817756652832
1773847162.8713298,1800,6.490598201751709
1773847164.8509583,1900,5.246264934539795
1773847166.8261256,2000,7.525212287902832
1773847172.3187726,2100,5.382602214813232
1773847177.8678293,2200,8.127870559692383
1773847181.627153,2300,9.799790382385254
1773847183.609551,2400,6.883780002593994
1773847185.468903,2500,2.1918277740478516
1773847187.3686447,2600,14.526556968688965
1773847189.3087592,2700,6.306424617767334
1773847191.2834935,2800,11.796476364135742
1773847193.2585242,2900,11.675162315368652
1773847195.2530873,3000,11.5145263671875
1773847197.3197174,3100,9.103928565979004
1773847199.4166367,3200,12.602604866027832
1773847201.7077153,3300,13.648544311523438
1773847203.7588046,3400,12.010687828063965
1773847205.6876943,3500,7.323441982269287
1773847207.6471186,3600,8.4086275100708
1773847209.7628794,3700,11.864294052124023
1773847211.973294,3800,14.743429183959961
1773847214.1292632,3900,16.75296401977539
1773847216.2139769,4000,16.151365280151367
1773847222.0313802,4100,13.781393051147461
1773847228.0179703,4200,15.938008308410645
1773847232.4084466,4300,16.190078735351562
1773847234.6880891,4400,13.609423637390137
1773847236.8412344,4500,11.00368881225586
1773847238.913617,4600,10.95355224609375
1773847241.005836,4700,16.557817459106445
1773847243.161943,4800,15.918574333190918
