Wall time,Step,Value
1774229040.0633798,100,-0.38307881355285645
1774229055.0574758,200,-0.38810500502586365
1774229069.9736812,300,0.16433890163898468
1774229084.862793,400,0.3917829394340515
1774229099.7439544,500,0.5777334570884705
1774229114.6015322,600,0.7809998989105225
1774229129.433799,700,0.9836423397064209
1774229144.3057826,800,1.6279970407485962
1774229159.1476798,900,3.8837947845458984
1774229174.0281885,1000,5.361847400665283
1774229188.8800898,1100,5.824625492095947
1774229203.7540045,1200,6.062775611877441
1774229218.6149464,1300,6.7855987548828125
1774229233.4608088,1400,8.744685173034668
1774229248.28261,1500,9.83604621887207
1774229263.15443,1600,10.390165328979492
1774229278.0105376,1700,12.019352912902832
1774229292.8589995,1800,12.560070037841797
1774229307.710435,1900,14.30703067779541
1774229322.5981555,2000,14.3909330368042
1774229337.4160085,2100,18.8290958404541
1774229352.2829149,2200,17.81597137451172
1774229367.1127474,2300,17.07451820373535
1774229381.9318085,2400,20.65245819091797
1774229396.7778573,2500,20.879730224609375
1774229411.6298053,2600,20.249494552612305
1774229426.4635122,2700,18.786949157714844
1774229441.3119133,2800,20.640853881835938
1774229456.1478186,2900,21.82145118713379
1774229471.025914,3000,20.835233688354492
1774229485.8672378,3100,22.188405990600586
1774229500.7073665,3200,24.025320053100586
1774229515.5502574,3300,24.27472496032715
1774229530.3931556,3400,23.164260864257812
1774229545.0627098,3500,24.608362197875977
1774229559.618728,3600,25.979877471923828
1774229574.4285438,3700,25.09590721130371
1774229589.263165,3800,24.543872833251953
1774229604.11673,3900,24.507305145263672
1774229618.9981499,4000,26.14377212524414
